Geneid,tir1_d3_rep3,tir1_d3_rep1,tir1_d7_rep5,tir1_d7_rep4,tir1_d7_rep6,tir1_d3_rep4,tir1_d7_rep2,tir1_d7_rep1,tir1_d7_rep3,wt_d7_rep4,wt_d7_rep1,wt_d7_rep2,wt_d3_rep1,wt_d3_rep2,wt_d3_rep4,wt_d7_rep3
Pex5l,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930419G24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Gm37443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19445,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
Gm37128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000119140,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5845,2,0,3,5,8,5,5,1,3,28,3,4,1,6,46,5
Gm42694,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm43666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ttc14,2864,3980,4839,4708,4781,3292,2865,3410,3131,2189,1653,3928,3192,2827,3055,3536
Ccdc39,25,0,39,43,15,0,0,11,12,0,167,105,69,1,16,30
Gm43140,0,0,0,0,0,0,0,0,0,4,51,6,0,0,0,0
4930431L21Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930502C17Rik,0,0,0,0,0,0,0,0,10,20,0,7,0,55,0,0
Gm23175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9791,2,2,0,5,2,9,0,0,6,1,3,1,3,0,0,1
Gm43077,2,3,0,0,12,5,9,13,0,0,0,0,0,0,0,2
Fxr1,1361,1329,3389,2190,2653,1947,3043,2316,3025,1763,1173,1927,1292,1510,1913,1703
Gm43667,0,0,8,17,20,1,12,11,0,0,6,6,96,0,0,28
Dnajc19,1862,1621,2213,2879,2580,1704,2261,2530,2478,2290,1658,1741,2626,1980,2447,2677
Gm43668,123,10,145,34,79,59,61,11,9,0,3,0,171,261,77,0
Sox2ot,24,0,0,0,0,4,0,0,8,40,3,0,0,0,9,0
Gm5708,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gm38505,0,0,0,0,0,0,0,0,0,8,53,0,0,0,0,0
Gm34599,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
Gm20515,12,0,0,0,0,0,0,0,0,1,4,0,0,0,65,0
Gm29135,43,0,0,0,2,0,0,0,0,8,44,0,0,6,0,0
ENSMUSG00002075173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm42695,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Gm42205,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0
ENSMUSG00002075164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir1897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm42692,0,0,0,0,4,1,0,0,0,4,14,0,0,2,0,0
Sox2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm42693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm43206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm3143,0,0,0,0,0,0,0,0,0,7,3,0,0,2,0,0
Gm38509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm21388,4,0,0,0,0,0,0,0,0,0,0,68,0,3,0,0
Mir6378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700017M07Rik,11,0,34,34,56,37,78,28,40,25,49,11,40,11,57,30
ENSMUSG00002075462,0,0,0,0,0,0,5,0,0,0,27,0,11,0,0,0
Gm43078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7733,0,1,2,2,0,3,0,1,2,0,0,0,1,0,0,3
Ube2l3-ps1,0,0,1,0,0,2,0,1,1,0,1,2,1,0,0,1
Gm6639,0,80,0,0,0,0,0,2,0,0,0,0,37,0,0,0
Gm25696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp11b,8776,12443,27187,19150,24174,17974,17592,20426,20574,19367,11530,12732,11194,10437,17495,27652
Gm43203,0,0,0,11,6,0,0,0,21,0,0,0,7,0,0,0
Gm7741,1,15,0,10,0,1,0,6,0,0,0,1,0,0,0,0
Dcun1d1,2576,2315,6096,4896,5575,2953,4877,4744,4964,3245,3254,3731,3357,2674,3113,4778
Gm15952,56,37,55,60,66,57,73,27,107,99,76,48,140,73,65,52
8430422M14Rik,1,10,1,16,1,0,0,2,2,0,0,19,0,3,0,0
Mccc1,1106,2501,2876,2018,2570,2703,2397,3175,2035,1630,577,1293,1995,1347,2551,1834
Gm43080,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
B230207O21Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mccc1os,167,136,184,170,221,66,99,177,51,88,234,177,295,157,430,134
Ccdc144b,14,0,0,0,0,12,5,0,0,0,0,0,0,0,3,0
Acad9,3608,4402,5305,4586,4698,3212,4720,4559,3317,5288,4790,3725,3911,3729,5720,5722
Gm43079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm43205,36,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
Zfp267,588,424,900,987,856,914,975,955,730,796,913,659,789,584,1011,1016
Qrfpr,1,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0
Gm43255,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Pou5f1-rs11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm42208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000120211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa5,12301,13817,13171,12574,15617,13092,13017,14754,12497,11515,12562,10442,14456,11840,13667,14173
Mir7009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810062G17Rik,185,139,70,107,59,192,74,94,18,81,177,23,125,139,38,57
Gm11548,0,0,0,0,0,0,0,0,0,14,25,0,0,0,0,0
Smim43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exosc9,2026,2704,3519,3357,3733,2676,3649,3488,3130,3468,2215,2744,2746,2866,2675,3540
Ccna2,920,138,1605,937,823,494,304,308,1507,638,210,351,275,255,608,652
Bbs7,26,4,70,18,0,112,0,0,5,22,3,5,0,14,0,0
Trpc3,0,0,0,0,0,0,0,0,0,9,92,0,0,0,0,0
Gm12377,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
Gm12376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4932438A13Rik,5156,8325,9481,10573,11049,6391,6676,9740,8272,5394,4584,8140,3268,3231,6940,9342
Gm12531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adad1,10,0,0,0,0,0,0,10,0,0,21,0,0,0,0,0
Gm12582,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
