Geneid,SpleenLN.TIR1.Resting.rep_1,SpleenLN.WT.Resting.rep_3,SpleenLN.WT.Activated.rep_1,SpleenLN.WT.Activated.rep_3,Thymus.TIR1.Developing.rep_1,Thymus.WT.Developing.rep_1,SpleenLN.WT.Resting.rep_2,SpleenLN.WT.Activated.rep_2,SpleenLN.TIR1.Resting.rep_3,SpleenLN.TIR1.Activated.rep_1,Thymus.TIR1.Developing.rep_3,Thymus.WT.Developing.rep_3,SpleenLN.TIR1.Activated.rep_2,SpleenLN.TIR1.Activated.rep_3,Thymus.TIR1.Developing.rep_2,Thymus.WT.Developing.rep_2,SpleenLN.WT.Resting.rep_1
ENSMUSG00000120659,59,101,42,27,32,35,66,63,140,11,89,7,28,43,23,27,49
Afg1l,416,169,166,463,443,386,457,312,300,388,441,165,216,386,534,228,307
Gm15197,26,21,17,27,0,0,0,0,1,0,16,0,14,0,0,12,0
Gm15198,111,96,61,53,73,91,108,95,107,101,82,63,73,80,73,62,91
Snx3,16324,14313,15134,16588,18627,18724,14742,18173,14409,20509,21008,17843,14094,15184,21664,17859,16724
Nr2e1,14,16,7,12,12,10,10,11,4,8,7,8,6,6,14,7,5
Ostm1,4151,4345,3769,3081,2960,3653,3489,2092,3266,4117,4143,3117,3277,2852,3996,3596,3958
Gm15200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15199,2,0,0,1,0,0,1,1,0,2,0,0,1,0,3,1,0
Sec63,2938,4136,2641,2071,3525,3715,2430,1410,2615,1435,3402,3120,2471,2533,4290,3830,3424
Gm26464,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Scml4,3830,3581,2068,1890,2394,2181,2703,1558,3025,1542,3133,2607,2003,1767,3997,2363,5010
Gm34006,603,726,155,213,512,551,555,312,696,279,432,391,156,328,383,329,906
Gm48671,74,82,21,44,65,54,62,56,66,30,85,35,10,53,49,52,58
Gm48670,23,6,6,7,27,28,28,1,21,7,13,41,1,10,7,4,20
Sobp,2,2,0,4,4,3,1,4,1,1,2,1,2,0,1,3,0
Gm47815,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Gm29245,0,0,1,3,0,1,0,0,2,1,0,1,0,1,1,0,1
Gm29246,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9030612E09Rik,29,22,20,16,14,15,24,22,20,21,13,15,15,13,24,14,22
ENSMUSG00000119988,161,290,106,247,215,102,104,294,82,301,149,162,184,138,420,44,112
Pdss2,297,160,372,166,228,369,474,267,411,383,219,404,301,448,196,89,281
Gm16546,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,18,0
Gm47857,0,1,6,35,0,1,2,2,4,2,63,2,3,0,1,0,7
Rps19-ps11,1,0,13,0,0,1,2,0,0,0,0,0,0,1,1,2,2
Gm47856,8,7,8,2,7,4,11,2,4,9,5,19,4,53,2,4,39
Gm3699,19,16,12,20,25,17,9,35,21,31,16,20,26,10,19,9,12
Bend3,203,38,159,56,52,26,42,142,95,115,300,70,57,157,71,41,112
Gm47889,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Pam16l,219,216,208,234,255,271,179,353,241,297,279,261,239,213,303,291,192
Mtres1,904,914,698,747,1177,1286,1033,994,966,831,1025,1328,661,826,1086,1081,972
Cd24a,88,135,6,9,839,1219,46,14,120,70,678,1081,10,63,1095,699,82
F930017D23Rik,2,1,1,1,0,1,1,3,6,1,1,4,2,2,2,1,1
Rpl26-ps1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm34481,1,3,1,4,1,1,2,2,4,4,2,2,0,3,8,3,0
Gm47927,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gm47926,1,2,0,0,0,4,0,2,0,0,2,1,3,1,5,3,0
Gm40634,24,6,4,9,9,11,8,5,27,3,18,9,5,8,18,9,10
1700027J07Rik,6,0,2,0,17,17,0,0,2,0,5,1,0,3,2,16,0
Gm9034,2,0,2,1,0,0,0,3,0,1,1,0,2,1,0,0,0
4933404K13Rik,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
Qrsl1,1166,1010,984,655,902,556,983,511,731,1224,522,581,928,889,907,917,990
Rtn4ip1,253,883,750,666,459,296,630,214,251,710,506,816,392,775,817,706,691
Crybg1,2829,5322,2074,1585,5576,6040,3470,1274,3185,1324,6168,6387,1480,1736,8398,5204,4615
Gm10812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18669,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Speer5-ps1,15,16,13,9,14,10,13,11,12,15,12,12,13,13,10,6,12
Atg5,3412,3163,3553,2961,2629,2210,2655,3475,2841,3904,2828,3148,3089,2851,3115,2563,3219
